,ensembl_gene_id,mgi_symbol,entrezgene
198,ENSMUSG00000026841,Fibcd1,98970
199,ENSMUSG00000006307,Kmt2b,75410
200,ENSMUSG00000081631,Gm12005,NA
201,ENSMUSG00000006191,Cdkal1,68916
202,ENSMUSG00000026312,Cdh7,241201
203,ENSMUSG00000106059,Gm9364,NA
204,ENSMUSG00000074384,AI429214,621080
205,ENSMUSG00000000579,Dynlt1c,100040563
206,ENSMUSG00000044899,Olfr649,259057
207,ENSMUSG00000028423,Nfx1,74164
208,ENSMUSG00000031105,Slc25a14,20523
209,ENSMUSG00000028525,Pde4b,18578
210,ENSMUSG00000001014,Icam4,78369
211,ENSMUSG00000113693,Gm48340,NA
212,ENSMUSG00000110881,Olfr897-ps1,NA
213,ENSMUSG00000099797,Gm3145,NA
214,ENSMUSG00000092048,Vmn2r85,623734
215,ENSMUSG00000100402,Gm28505,NA
216,ENSMUSG00000087266,Gm15991,NA
217,ENSMUSG00000030650,Tmc5,74424
218,ENSMUSG00000075604,Cyp11b1,110115
219,ENSMUSG00000045039,Megf8,269878
220,ENSMUSG00000091268,Igkv17-134,NA
221,ENSMUSG00000029859,Epha1,13835
222,ENSMUSG00000111574,Gm46146,NA
223,ENSMUSG00000030465,Psd3,234353
224,ENSMUSG00000057531,Dtnbp1,94245
225,ENSMUSG00000014873,Surf2,20931
226,ENSMUSG00000038084,Opa1,74143
227,ENSMUSG00000019951,Uhrf1bp1l,75089
228,ENSMUSG00000103566,Gm38068,NA
229,ENSMUSG00000109381,Gm44826,NA
230,ENSMUSG00000105934,Gm43575,NA
231,ENSMUSG00000110790,Gm47079,NA
232,ENSMUSG00000026826,Nr4a2,18227
233,ENSMUSG00000037405,Icam1,15894
234,ENSMUSG00000115165,,NA
235,ENSMUSG00000107266,Gm43698,NA
236,ENSMUSG00000033763,Mtss1l,244654
237,ENSMUSG00000115349,,NA
238,ENSMUSG00000083396,Gm15542,NA
239,ENSMUSG00000099590,C330022C24Rik,NA
240,ENSMUSG00000022462,Slc38a2,67760
241,ENSMUSG00000056018,Ccdc7b,75453
242,ENSMUSG00000028738,Tas1r2,83770
243,ENSMUSG00000100345,Gm29418,NA
244,ENSMUSG00000025485,Ric8a,101489
245,ENSMUSG00000033491,Prss35,244954
246,ENSMUSG00000073116,Gm10471,100039045
247,ENSMUSG00000092060,Bend4,666938
248,ENSMUSG00000020177,9530003J23Rik,77397
249,ENSMUSG00000103670,Gm37622,NA
250,ENSMUSG00000112780,Gm48410,NA
251,ENSMUSG00000081792,Anp32b-ps1,NA
252,ENSMUSG00000024409,Psors1c2,57390
253,ENSMUSG00000103610,Gm37947,NA
254,ENSMUSG00000112431,Gm10741,NA
255,ENSMUSG00000045575,Vmn1r233,171236
256,ENSMUSG00000026712,Mrc1,17533
257,ENSMUSG00000062074,Wisp3,327743
258,ENSMUSG00000022295,Atp6v1c1,66335
259,ENSMUSG00000042380,Smim12,80284
260,ENSMUSG00000102988,Trbv22,NA
261,ENSMUSG00000114675,Gm18834,NA
262,ENSMUSG00000090328,Gm17073,NA
263,ENSMUSG00000101511,Gm5681,NA
264,ENSMUSG00000093453,Vmn1r-ps146,NA
265,ENSMUSG00000095910,Olfr469,258418
266,ENSMUSG00000097467,Gm26737,NA
267,ENSMUSG00000102283,Gm37000,NA
268,ENSMUSG00000105331,Gm29865,NA
269,ENSMUSG00000100206,Gm28681,NA
270,ENSMUSG00000100969,1700030N03Rik,NA
271,ENSMUSG00000105327,Gm9409,NA
272,ENSMUSG00000100765,Gm28684,NA
273,ENSMUSG00000098727,1700017I07Rik,NA
274,ENSMUSG00000104853,Olfr375-ps1,NA
275,ENSMUSG00000041805,Pramel1,83491
276,ENSMUSG00000097840,Gm26756,NA
277,ENSMUSG00000091700,Gm7876,108168186
278,ENSMUSG00000106832,Gm42632,NA
279,ENSMUSG00000104617,Gm43356,NA
280,ENSMUSG00000094439,Gm21969,NA
281,ENSMUSG00000040866,Rsph6a,83434
282,ENSMUSG00000028546,Elavl4,15572
283,ENSMUSG00000032010,Usp2,53376
284,ENSMUSG00000084302,Gm12194,NA
285,ENSMUSG00000082047,Gm12948,NA
286,ENSMUSG00000104610,Gm567,NA
287,ENSMUSG00000037904,Ankrd9,74251
288,ENSMUSG00000050390,C77080,97130
289,ENSMUSG00000115461,,NA
290,ENSMUSG00000069971,4933402J07Rik,330820
291,ENSMUSG00000115650,,NA
292,ENSMUSG00000025930,Msc,17681
293,ENSMUSG00000114741,Gm47971,NA
294,ENSMUSG00000102080,Gm5092,NA
295,ENSMUSG00000039518,Cdsn,386463
296,ENSMUSG00000115755,,NA
297,ENSMUSG00000045038,Prkce,18754
298,ENSMUSG00000115818,,NA
299,ENSMUSG00000083485,Gm12308,NA
300,ENSMUSG00000058914,C1qtnf3,81799
301,ENSMUSG00000028737,Aldh4a1,212647
302,ENSMUSG00000091550,Gm6811,NA
303,ENSMUSG00000033214,Slitrk5,75409
304,ENSMUSG00000054493,Gm9947,NA
305,ENSMUSG00000115275,,NA
306,ENSMUSG00000046329,Slc25a23,66972
307,ENSMUSG00000079942,Rpl28-ps3,NA
308,ENSMUSG00000042616,Oscp1,230751
309,ENSMUSG00000115526,,NA
310,ENSMUSG00000037712,Fermt2,218952
311,ENSMUSG00000062826,Ces2f,71903
312,ENSMUSG00000112700,Gm48757,NA
313,ENSMUSG00000038879,Nipal2,223473
314,ENSMUSG00000102693,4933401J01Rik,NA
315,ENSMUSG00000112162,Gm48758,NA
316,ENSMUSG00000084776,Gm14951,NA
317,ENSMUSG00000111698,Gm47105,NA
318,ENSMUSG00000069125,Rps24-ps2,NA
319,ENSMUSG00000096362,Rps12-ps21,NA
320,ENSMUSG00000112303,Gm48759,NA
321,ENSMUSG00000103245,Gm2071,NA
322,ENSMUSG00000024791,Cdca5,67849
323,ENSMUSG00000003309,Ap1m2,11768
324,ENSMUSG00000034560,Washc4,319277
325,ENSMUSG00000014867,Surf4,20932
326,ENSMUSG00000102385,Gm38144,NA
327,ENSMUSG00000083300,Gm12309,NA
328,ENSMUSG00000095638,Gm8888,NA
329,ENSMUSG00000000134,Tfe3,209446
330,ENSMUSG00000114914,Gm48571,NA
331,ENSMUSG00000006476,Nsmf,56876
332,ENSMUSG00000114585,Gm32401,NA
333,ENSMUSG00000103161,Gm38148,NA
334,ENSMUSG00000102851,Gm18956,NA
335,ENSMUSG00000103201,Gm37329,NA
336,ENSMUSG00000021365,Nedd9,18003
337,ENSMUSG00000089699,Gm1992,NA
338,ENSMUSG00000051951,Xkr4,497097
339,ENSMUSG00000105715,Gm31887,NA
340,ENSMUSG00000076747,Tcrg-V5,NA
341,ENSMUSG00000029860,Zyx,22793
342,ENSMUSG00000076745,Tcrg-V4,NA
343,ENSMUSG00000084074,Gm8310,NA
344,ENSMUSG00000076744,Tcrg-V7,NA
345,ENSMUSG00000094082,Gm12452,NA
346,ENSMUSG00000027070,Lrp2,14725
347,ENSMUSG00000081603,Gm14681,NA
348,ENSMUSG00000103377,Gm37180,NA
349,ENSMUSG00000102331,Gm19938,NA
350,ENSMUSG00000076746,Tcrg-V6,NA
351,ENSMUSG00000103147,Gm7341,NA
352,ENSMUSG00000070985,Acnat1,230161
353,ENSMUSG00000104017,Gm37363,NA
354,ENSMUSG00000103025,Gm37686,NA
355,ENSMUSG00000021118,Plek2,27260
356,ENSMUSG00000110136,Gm45785,NA
357,ENSMUSG00000041025,Iffo2,212632
358,ENSMUSG00000103224,Gm2077,NA
359,ENSMUSG00000052794,1700030K09Rik,72254
360,ENSMUSG00000091223,Gm8775,NA
361,ENSMUSG00000060314,Zfp941,407812
362,ENSMUSG00000104233,Gm34023,NA
363,ENSMUSG00000101475,Gm21316,NA
364,ENSMUSG00000099713,Gm21923,NA
365,ENSMUSG00000099831,Gm28683,NA
366,ENSMUSG00000098627,4930524O08Rik,NA
367,ENSMUSG00000083627,Gm12502,NA
368,ENSMUSG00000087357,Gm12498,NA
369,ENSMUSG00000114058,Gm46317,NA
370,ENSMUSG00000080795,Gm6783,NA
371,ENSMUSG00000025484,Bet1l,54399
372,ENSMUSG00000081442,Gm14682,NA
373,ENSMUSG00000081598,Gm8312,NA
374,ENSMUSG00000023087,Noct,12457
375,ENSMUSG00000101868,Gm28680,NA
376,ENSMUSG00000024829,Mrpl21,353242
377,ENSMUSG00000019872,Smpdl3a,57319
378,ENSMUSG00000100914,Gm28679,NA
379,ENSMUSG00000050234,Gja4,14612
380,ENSMUSG00000112841,Gm48752,NA
381,ENSMUSG00000112415,Gm48426,NA
382,ENSMUSG00000020061,Mybpc1,109272
383,ENSMUSG00000112846,4930432O09Rik,NA
384,ENSMUSG00000106477,Gm8874,NA
385,ENSMUSG00000112871,Gm35404,NA
386,ENSMUSG00000032226,Gcnt3,72077
387,ENSMUSG00000106506,4930558F17Rik,NA
388,ENSMUSG00000104962,Trgj1,NA
389,ENSMUSG00000015790,Surf1,20930
390,ENSMUSG00000094025,Gm8879,NA
391,ENSMUSG00000020608,Smc6,67241
392,ENSMUSG00000051940,5031410I06Rik,381622
393,ENSMUSG00000109142,Gm44600,NA
394,ENSMUSG00000097535,Gm26592,NA
395,ENSMUSG00000076749,Tcrg-C1,NA
396,ENSMUSG00000032174,Icam5,15898
397,ENSMUSG00000112831,,NA
398,ENSMUSG00000112633,Gm47627,NA
399,ENSMUSG00000112245,Gm8689,NA
400,ENSMUSG00000081688,Gm12499,NA
401,ENSMUSG00000112069,Gm9476,NA
402,ENSMUSG00000100338,Gm28870,NA
403,ENSMUSG00000101061,Platr1,NA
404,ENSMUSG00000046157,Tmem229b,268567
405,ENSMUSG00000111176,Gm47233,NA
406,ENSMUSG00000063952,Brpf3,268936
407,ENSMUSG00000111043,2210414F02Rik,NA
408,ENSMUSG00000028031,Dkk2,56811
409,ENSMUSG00000029993,Nfu1,56748
410,ENSMUSG00000068323,Slc4a5,232156
411,ENSMUSG00000027890,Gstm4,14865
412,ENSMUSG00000022346,Myc,17869
413,ENSMUSG00000112485,Gm47631,NA
414,ENSMUSG00000112480,Gm4310,NA
415,ENSMUSG00000112777,Gm8723,NA
416,ENSMUSG00000116499,,NA
417,ENSMUSG00000112856,Gm4305,100043235
418,ENSMUSG00000025482,Odf3,69287
419,ENSMUSG00000096908,Trav7-3,NA
420,ENSMUSG00000094491,Igkv1-133,NA
421,ENSMUSG00000091101,Gm4302,100043227
422,ENSMUSG00000086185,1700036O09Rik,NA
423,ENSMUSG00000103630,Gm37242,NA
424,ENSMUSG00000112522,Gm47632,NA
425,ENSMUSG00000096744,Gm4307,100043239
426,ENSMUSG00000083010,Gm14687,NA
427,ENSMUSG00000026399,Cd55,13136
428,ENSMUSG00000079578,Gm1140,382217
429,ENSMUSG00000038233,Fam198a,245050
430,ENSMUSG00000029552,Tes,21753
431,ENSMUSG00000099388,Gm28966,NA
432,ENSMUSG00000103313,Gm38357,NA
433,ENSMUSG00000112178,Gm47630,NA
434,ENSMUSG00000091552,Gm8711,NA
435,ENSMUSG00000110727,Gm48784,NA
436,ENSMUSG00000112122,Gm47628,NA
437,ENSMUSG00000094628,Gm3252,NA
438,ENSMUSG00000112931,Gm4303,100043231
439,ENSMUSG00000039653,Baat,12012
440,ENSMUSG00000037847,Nmrk1,225994
441,ENSMUSG00000001270,Ckb,12709
442,ENSMUSG00000112737,Gm4898,NA
443,ENSMUSG00000112408,Gm8701,NA
444,ENSMUSG00000096640,Gm4312,100043247
445,ENSMUSG00000094314,Gm4301,100043224
446,ENSMUSG00000026683,Nuf2,66977
447,ENSMUSG00000095673,Gm4308,NA
448,ENSMUSG00000096857,Gm7732,NA
449,ENSMUSG00000094582,Gm7736,NA
450,ENSMUSG00000091221,Gm3084,NA
451,ENSMUSG00000100191,Gm7740,NA
452,ENSMUSG00000102722,Gm37935,NA
453,ENSMUSG00000090539,Gm9602,673676
454,ENSMUSG00000024831,Ighmbp2,20589
455,ENSMUSG00000056305,Usp39,28035
456,ENSMUSG00000075265,Tnk2os,NA
457,ENSMUSG00000054690,Emcn,59308
458,ENSMUSG00000109091,Gm44827,NA
459,ENSMUSG00000096956,Snhg18,NA
460,ENSMUSG00000113048,Gm48347,NA
461,ENSMUSG00000025481,Urah,76974
462,ENSMUSG00000022791,Tnk2,51789
463,ENSMUSG00000065968,Ifitm7,74482
464,ENSMUSG00000076750,Tcrg-V3,NA
465,ENSMUSG00000114537,Gm48569,NA
466,ENSMUSG00000082277,Gm15807,NA
